"","...1","...2","Trial_Nr","Trial_Id","Task_Name","sub","x","y","time","conf","el_x","el_y","el_pupil","el_time","time_start","time_diff","Freq","web_wordID","web_char","web_char_num","web_target_word","web_word_num","el_wordID","el_char","el_char_num","el_target_word","el_word_num","freq","zipf","ground_truth"
"1",1,1,1,114,"Single_line_sentences",11,1240.5265045166,983.590979576112,1739460906486,0.7626454275138,1394.8,955.1,561,12403041,13,NA,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"2",2,2,1,114,"Single_line_sentences",11,1328.21136474609,955.918436050416,1739460906501.7,0.809848233785174,1393.9,955.7,560,12403057,28.699951171875,15.699951171875,NA,"smooth.","m",2,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"3",3,3,1,114,"Single_line_sentences",11,1297.91593551636,958.669996261596,1739460906517.5,0.881354341533845,1392.8,953.5,564,12403073,44.5,15.800048828125,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"4",4,4,1,114,"Single_line_sentences",11,1314.69214439392,968.081459999085,1739460906533.1,0.670250235561482,1392,952.5,562,12403088,60.10009765625,15.60009765625,NA,"smooth.","m",2,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"5",5,5,1,114,"Single_line_sentences",11,1290.50794601441,971.28678560257,1739460906549,0.752449180636782,1391.3,954.8,566,12403104,76,15.89990234375,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"6",6,6,1,114,"Single_line_sentences",11,1227.97479629517,999.1499376297,1739460906564.7,0.719609299337224,1390.7,954.6,569,12403120,91.699951171875,15.699951171875,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"7",7,7,1,114,"Single_line_sentences",11,1269.59495544434,988.487384319305,1739460906580.5,0.719609299337224,1390.4,954.4,562,12403135,107.5,15.800048828125,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"8",8,8,1,114,"Single_line_sentences",11,1266.71499252319,992.839322090148,1739460906603.4,0.7141627097931,1387.7,952.7,566,12403158,130.400146484375,22.900146484375,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"9",9,9,1,114,"Single_line_sentences",11,1326.13829612732,976.841082572937,1739460906619.1,0.944638474643948,1385.2,952.8,567,12403174,146.10009765625,15.699951171875,NA,"smooth.","m",2,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"10",10,10,1,114,"Single_line_sentences",11,1327.5749874115,981.409249305725,1739460906650.8,0.715581195548362,1384.8,953,567,12403206,177.800048828125,31.699951171875,NA,"smooth.","m",2,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"11",11,11,1,114,"Single_line_sentences",11,1280.67958831787,974.89264011383,1739460906666.5,0.715581195548362,1385.8,949.8,566,12403221,193.5,15.699951171875,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"12",12,12,1,114,"Single_line_sentences",11,1291.22646331787,971.22917175293,1739460906697.1,0.79985911248468,1388.9,941,562,12403252,224.10009765625,30.60009765625,NA,"smooth.","s",1,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"13",13,13,1,114,"Single_line_sentences",11,1340.08234977722,968.038716316224,1739460906712.9,0.904418468278944,1391.5,933.6,560,12403268,239.900146484375,15.800048828125,NA,"smooth.","m",2,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"14",14,14,1,114,"Single_line_sentences",11,1230.48860549927,986.155021190642,1739460906728.6,0.977233476207886,1382.9,929.6,567,12403284,255.60009765625,15.699951171875,NA,"smooth.","s",1,NA,4,"smooth.","m",2,NA,4,4604,4.36,"saccade"
"15",15,15,1,114,"Single_line_sentences",11,1268.43612670898,970.855422019958,1739460906759.1,0.700414794990085,1220.9,818.4,565,12403314,286.10009765625,30.5,NA,"smooth.","s",1,NA,4,"smooth.",NA,0,NA,4,4604,4.36,"saccade"
"16",16,16,1,114,"Single_line_sentences",11,1340.37048339844,954.551732540131,1739460906773.8,0.738262521716827,1121.8,788.1,566,12403329,300.800048828125,14.699951171875,NA,"smooth.","m",2,NA,4,"felt","t",4,NA,3,4604,4.36,"saccade"
"17",17,17,1,114,"Single_line_sentences",11,1215.51572799683,976.346504688264,1739460906789.7,0.891066921708396,1004.6,739,566,12403345,316.699951171875,15.89990234375,NA,"smooth.",NA,0,NA,4,"felt","l",3,NA,3,4604,4.36,"saccade"
"18",18,18,1,114,"Single_line_sentences",11,1253.50879669189,955.961759090424,1739460906805.5,0.894177606103313,905.7,686.5,555,12403361,332.5,15.800048828125,NA,"smooth.","s",1,NA,4,"felt","f",1,NA,3,4604,4.36,"saccade"
"19",19,19,1,114,"Single_line_sentences",11,1186.62826538086,955.772244930266,1739460906821.2,0.894177606103313,809,658.6,557,12403376,348.199951171875,15.699951171875,NA,"smooth.",NA,0,NA,4,"felt",NA,0,NA,3,4604,4.36,"saccade"
"20",20,20,1,114,"Single_line_sentences",11,1054.80640411377,964.169833660126,1739460906837,0.855650249557337,729.9,627.4,560,12403392,364,15.800048828125,NA,"felt","l",3,NA,3,"sand","d",4,NA,2,28192,5.15,"saccade"
"21",21,21,1,114,"Single_line_sentences",11,1150.96424102783,958.165247440339,1739460906852.6,0.94084647884875,660.6,605.2,565,12403408,379.60009765625,15.60009765625,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"saccade"
"22",22,22,1,114,"Single_line_sentences",11,1171.05091094971,953.245475292206,1739460906868,0.931614198730476,642.8,598.6,559,12403423,395,15.39990234375,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"pso"
"23",23,23,1,114,"Single_line_sentences",11,1132.99077987671,933.728799819946,1739460906891.6,0.848486048299197,637.9,596.4,563,12403447,418.60009765625,23.60009765625,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"24",24,24,1,114,"Single_line_sentences",11,1133.42485427856,934.98098373413,1739460906907.4,0.802593569364141,635.5,594.6,566,12403462,434.400146484375,15.800048828125,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"25",25,25,1,114,"Single_line_sentences",11,1143.1841468811,929.993813037871,1739460906939,0.825008589072816,634.3,588.7,558,12403494,466,31.599853515625,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"26",26,26,1,114,"Single_line_sentences",11,1222.14632034302,915.494241714478,1739460906954.8,0.78589562481432,630.7,585.5,561,12403510,481.800048828125,15.800048828125,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"27",27,27,1,114,"Single_line_sentences",11,1209.98811721802,915.54438829422,1739460906970.2,0.937080598954472,627.5,586.3,558,12403525,497.199951171875,15.39990234375,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"28",28,28,1,114,"Single_line_sentences",11,1097.53223419189,938.46066713333,1739460906986,0.878511087035051,625,586.2,557,12403541,513,15.800048828125,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
